mac,x,y,z,floorId,modelNo,firmwareVersion
71b24c,2501.999933,1461.999961,120,AAVmbG9vcgACdXO2iJgA2DwR5ICAgICAgICAlc29UN6oEee5b4eX1qVlzQ,SU-5E,4.3.6 b0
71ae58,1740.999954,2193.999941,120,AAVmbG9vcgACdXO2iJgA2DwR5ICAgICAgICAlc29UN6oEee5b4eX1qVlzQ,SU-5E,4.3.6 b0
71aa60,1930.999948,2193.999941,120,AAVmbG9vcgACdXO2iJgA2DwR5ICAgICAgICAlc29UN6oEee5b4eX1qVlzQ,SU-5E,4.3.6 b0
71ab6a,1228.999967,2197.999941,120,AAVmbG9vcgACdXO2iJgA2DwR5ICAgICAgICAlc29UN6oEee5b4eX1qVlzQ,SU-5E,4.3.6 b0
71b05e,1971.999947,2353.999937,120,AAVmbG9vcgACdXO2iJgA2DwR5ICAgICAgICAlc29UN6oEee5b4eX1qVlzQ,SU-5E,4.3.6 b0
71b266,2834.999924,1125.99997,120,AAVmbG9vcgACdXO2iJgA2DwR5ICAgICAgICAlc29UN6oEee5b4eX1qVlzQ,SU-5E,4.3.6 b0
71b7a0,3165.999915,1345.999964,120,AAVmbG9vcgACdXO2iJgA2DwR5ICAgICAgICAlc29UN6oEee5b4eX1qVlzQ,SU-5E,4.3.6 b0
71b8fc,3165.999915,1570.999958,120,AAVmbG9vcgACdXO2iJgA2DwR5ICAgICAgICAlc29UN6oEee5b4eX1qVlzQ,SU-5E,4.3.6 b0
71b64e,3388.99991,1804.999952,120,AAVmbG9vcgACdXO2iJgA2DwR5ICAgICAgICAlc29UN6oEee5b4eX1qVlzQ,SU-5E,4.3.6 b0
71b150,3499.999907,1804.999952,120,AAVmbG9vcgACdXO2iJgA2DwR5ICAgICAgICAlc29UN6oEee5b4eX1qVlzQ,SU-5E,4.3.6 b0
71af28,3615.999903,1804.999952,120,AAVmbG9vcgACdXO2iJgA2DwR5ICAgICAgICAlc29UN6oEee5b4eX1qVlzQ,SU-5E,4.3.6 b0
71aeee,3815.999898,1225.999967,120,AAVmbG9vcgACdXO2iJgA2DwR5ICAgICAgICAlc29UN6oEee5b4eX1qVlzQ,SU-5E,4.3.6 b0
71afb2,3935.999895,1225.999967,120,AAVmbG9vcgACdXO2iJgA2DwR5ICAgICAgICAlc29UN6oEee5b4eX1qVlzQ,SU-5E,4.3.6 b0
71b174,3821.999898,1156.999969,120,AAVmbG9vcgACdXO2iJgA2DwR5ICAgICAgICAlc29UN6oEee5b4eX1qVlzQ,SU-5E,4.3.6 b0
71b804,3615.999903,1117.99997,120,AAVmbG9vcgACdXO2iJgA2DwR5ICAgICAgICAlc29UN6oEee5b4eX1qVlzQ,SU-5E,4.3.6 b0
71b4da,3982.999894,1098.999971,120,AAVmbG9vcgACdXO2iJgA2DwR5ICAgICAgICAlc29UN6oEee5b4eX1qVlzQ,SU-5E,4.3.6 b0
71b72a,3941.999895,1505.99996,120,AAVmbG9vcgACdXO2iJgA2DwR5ICAgICAgICAlc29UN6oEee5b4eX1qVlzQ,SU-5E,4.3.6 b0
71aeec,3386.99991,1345.999964,120,AAVmbG9vcgACdXO2iJgA2DwR5ICAgICAgICAlc29UN6oEee5b4eX1qVlzQ,SU-5E,4.3.6 b0
71b2b2,2899.999923,1352.999964,120,AAVmbG9vcgACdXO2iJgA2DwR5ICAgICAgICAlc29UN6oEee5b4eX1qVlzQ,SU-5E,4.3.6 b0
71b2b6,2488.999934,1223.999967,120,AAVmbG9vcgACdXO2iJgA2DwR5ICAgICAgICAlc29UN6oEee5b4eX1qVlzQ,SU-5E,4.3.6 b0
71b25c,2782.999926,1775.999953,120,AAVmbG9vcgACdXO2iJgA2DwR5ICAgICAgICAlc29UN6oEee5b4eX1qVlzQ,SU-5E,4.3.6 b0
71b086,3163.999916,1799.999952,120,AAVmbG9vcgACdXO2iJgA2DwR5ICAgICAgICAlc29UN6oEee5b4eX1qVlzQ,SU-5E,4.3.6 b0
71b9a6,3010.99992,1939.999948,120,AAVmbG9vcgACdXO2iJgA2DwR5ICAgICAgICAlc29UN6oEee5b4eX1qVlzQ,SU-5E,4.2.9 b0
71b520,3277.999912,1919.999949,120,AAVmbG9vcgACdXO2iJgA2DwR5ICAgICAgICAlc29UN6oEee5b4eX1qVlzQ,SU-5E,4.3.6 b0
71b10a,3510.999906,2353.999937,120,AAVmbG9vcgACdXO2iJgA2DwR5ICAgICAgICAlc29UN6oEee5b4eX1qVlzQ,SU-5E,4.3.6 b0
